name,midi,freq
C-1,0,8.175798915643707
C#-1,1,8.661957218027252
D-1,2,9.177023997418987
D#-1,3,9.722718241315029
E-1,4,10.300861153527185
F-1,5,10.913382232281371
F#-1,6,11.562325709738575
G-1,7,12.249857374429665
G#-1,8,12.978271799373285
A-1,9,13.75
A#-1,10,14.56761754744031
B-1,11,15.433853164253879
C0,12,16.351597831287414
C#0,13,17.323914436054505
D0,14,18.354047994837973
D#0,15,19.445436482630058
E0,16,20.60172230705437
F0,17,21.826764464562743
F#0,18,23.12465141947715
G0,19,24.49971474885933
G#0,20,25.95654359874657
A0,21,27.5
A#0,22,29.13523509488062
B0,23,30.867706328507758
C1,24,32.70319566257483
C#1,25,34.64782887210901
D1,26,36.70809598967595
D#1,27,38.890872965260115
E1,28,41.20344461410874
F1,29,43.653528929125486
F#1,30,46.2493028389543
G1,31,48.99942949771866
G#1,32,51.91308719749314
A1,33,55.0
A#1,34,58.27047018976124
B1,35,61.735412657015516
C2,36,65.40639132514966
C#2,37,69.29565774421802
D2,38,73.4161919793519
D#2,39,77.78174593052023
E2,40,82.40688922821748
F2,41,87.30705785825097
F#2,42,92.4986056779086
G2,43,97.99885899543732
G#2,44,103.82617439498628
A2,45,110.0
A#2,46,116.54094037952248
B2,47,123.470825314031
C3,48,130.8127826502993
C#3,49,138.59131548843604
D3,50,146.83238395870376
D#3,51,155.56349186104046
E3,52,164.813778456435
F3,53,174.61411571650194
F#3,54,184.9972113558172
G3,55,195.99771799087466
G#3,56,207.65234878997256
A3,57,220.0
A#3,58,233.08188075904496
B3,59,246.941650628062
C4,60,261.6255653005986
C#4,61,277.1826309768721
D4,62,293.6647679174075
D#4,63,311.1269837220809
E4,64,329.62755691287
F4,65,349.2282314330039
F#4,66,369.9944227116344
G4,67,391.9954359817493
G#4,68,415.3046975799451
A4,69,440.0
A#4,70,466.1637615180898
B4,71,493.88330125612424
C5,72,523.2511306011972
C#5,73,554.3652619537442
D5,74,587.3295358348153
D#5,75,622.2539674441618
E5,76,659.2551138257397
F5,77,698.4564628660079
F#5,78,739.9888454232688
G5,79,783.9908719634984
G#5,80,830.6093951598904
A5,81,880.0
A#5,82,932.3275230361796
B5,83,987.7666025122485
C6,84,1046.5022612023945
C#6,85,1108.7305239074883
D6,86,1174.6590716696305
D#6,87,1244.5079348883237
E6,88,1318.5102276514795
F6,89,1396.9129257320158
F#6,90,1479.9776908465376
G6,91,1567.9817439269968
G#6,92,1661.2187903197807
A6,93,1760.0
A#6,94,1864.6550460723593
B6,95,1975.533205024497
C7,96,2093.004522404789
C#7,97,2217.4610478149766
D7,98,2349.318143339261
D#7,99,2489.0158697766474
E7,100,2637.020455302959
F7,101,2793.8258514640315
F#7,102,2959.955381693075
G7,103,3135.9634878539937
G#7,104,3322.4375806395615
A7,105,3520.0
A#7,106,3729.3100921447185
B7,107,3951.066410048994
C8,108,4186.009044809578
C#8,109,4434.922095629953
D8,110,4698.636286678522
D#8,111,4978.031739553295
E8,112,5274.040910605918
F8,113,5587.651702928063
F#8,114,5919.91076338615
G8,115,6271.926975707987
G#8,116,6644.875161279123
A8,117,7040.0
A#8,118,7458.6201842894425
B8,119,7902.132820097983
C9,120,8372.018089619156
C#9,121,8869.84419125991
D9,122,9397.272573357039
D#9,123,9956.06347910659
E9,124,10548.081821211843
F9,125,11175.30340585612
F#9,126,11839.8215267723
G9,127,12543.853951415984
